BEA Service,BEA Sector
Maintenance and repair services n.i.e.,811100
Maintenance and repair services n.i.e.,811200
Maintenance and repair services n.i.e.,811300
Maintenance and repair services n.i.e.,811400
Transport,481000
Transport,492000
Insurance services,524113
Insurance services,5241XX
Insurance services,524200
Financial services,523A00
Financial services,523900
Financial services,52A000
Financial services,522A00
"Telecommunications, computer, and information services",517110
"Telecommunications, computer, and information services",517210
"Telecommunications, computer, and information services",517A00
"Telecommunications, computer, and information services",541511
"Telecommunications, computer, and information services",541512
"Telecommunications, computer, and information services",54151A
"Telecommunications, computer, and information services",511200
"Telecommunications, computer, and information services",518200
"Telecommunications, computer, and information services",511110
"Telecommunications, computer, and information services",511120
"Telecommunications, computer, and information services",511130
"Telecommunications, computer, and information services",5111A0
"Telecommunications, computer, and information services",511200
"Telecommunications, computer, and information services",519130
"Telecommunications, computer, and information services",5191A0
Professional and management consulting services,541800
Professional and management consulting services,561300
Professional and management consulting services,561700
Professional and management consulting services,561100
Professional and management consulting services,561200
Professional and management consulting services,561400
Professional and management consulting services,561500
Professional and management consulting services,561600
Professional and management consulting services,561900
"Legal, accounting, management consulting, and public relations services",541100
"Legal, accounting, management consulting, and public relations services",541200
"Technical, trade-related, and other business services",541300
"Technical, trade-related, and other business services",541610
"Technical, trade-related, and other business services",5416A0
"Technical, trade-related, and other business services",541400
"Technical, trade-related, and other business services",5419A0
"Technical, trade-related, and other business services",541920
"Technical, trade-related, and other business services",541940
"Technical, trade-related, and other business services",541700
"Technical, trade-related, and other business services",562000
"Technical, trade-related, and other business services",221100
"Technical, trade-related, and other business services",213111
"Technical, trade-related, and other business services",21311A
"Personal, cultural, and recreational services",711100
"Personal, cultural, and recreational services",711200
"Personal, cultural, and recreational services",711A00
"Personal, cultural, and recreational services",711500
"Personal, cultural, and recreational services",712000
"Personal, cultural, and recreational services",512100
"Personal, cultural, and recreational services",512200
"Personal, cultural, and recreational services",611100
"Personal, cultural, and recreational services",611A00
"Personal, cultural, and recreational services",611B00
Government goods and services n.i.e.,491000
Government goods and services n.i.e.,S00101
Government goods and services n.i.e.,S00102
Government goods and services n.i.e.,S003 
Government goods and services n.i.e.,S009 
