BEA Summary,(Weighted-Imports) Carbon Dioxide (CO2),(Weighted-Imports) Methane (CH4),(Weighted-Imports) Nitrous Oxide (N2O)
111CA,0.3999021216218291,0.021014850568777183,4.8901281979368994e-06
113FF,0.2391713235277522,0.00064292749080898,5.573729180926087e-06
211,1.6288893099640551,0.01638567866044044,2.8395624699494363e-06
212,1.0641671668860206,0.005193671074355598,3.5974912535864778e-06
213,1.0934796834132063,0.008812102757342044,3.045160230484158e-06
22,2.1405564756458992,0.0060043168361275994,4.039092006804227e-05
23,0.0,0.0,0.0
311FT,0.38611359627091024,0.0012867103551187677,7.406854974430015e-07
313TT,0.733307845489678,0.0010437415917792753,1.9285164224591722e-06
315AL,0.7874610251360766,0.0012660086767615265,2.2921676904960485e-06
321,0.7018688211317818,0.00031090458706476586,1.262329880664773e-06
322,0.6410597123752114,0.0005193153243299888,7.552645555060865e-06
323,0.534217601811632,0.0012066253665031525,7.971573958735949e-06
324,1.0989966118975085,0.007971493348564954,3.945625983774744e-06
325,0.0,0.0,0.0
326,0.5364820180392446,0.0002381523897716289,7.1574823015752e-07
327,3.4959133818408854,0.0017678823334342326,7.110638747100697e-06
331,1.0931455719508982,0.0012859914463374256,4.035971438165101e-06
332,0.7545257226210713,0.00016746181477046877,8.344238705254893e-07
333,0.4656067103099407,5.882479416274829e-05,2.2560813336174114e-07
334,0.0,0.0,0.0
335,0.5866791720948784,0.000167085347421923,6.639405370203432e-07
3361MV,0.39434134511735036,0.00010000111040725756,4.4224457673348246e-07
3364OT,0.0,0.0,0.0
337,0.7564222934178418,0.0003547767114265533,9.378012543999794e-07
339,0.0,0.0,0.0
441,0.0,0.0,0.0
445,0.0,0.0,0.0
452,0.0,0.0,0.0
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.0,0.0,0.0
486,0.0,0.0,0.0
487OS,0.2610873054680435,0.0005123226846718988,2.8608798401651233e-06
493,0.0,0.0,0.0
4A0,0.0,0.0,0.0
511,0.0,0.0,0.0
513,0.1869737144139689,6.782132192592651e-05,2.765930072372527e-07
514,0.0,0.0,0.0
521CI,0.1601376800829631,0.00021930454621642086,8.747539358717541e-07
523,0.18798492764098412,0.00017279375974413698,5.954262869632021e-07
524,0.15371340948975143,0.00018076402356188072,2.648003395276421e-07
525,0.0,0.0,0.0
532RL,0.0,0.0,0.0
5411,0.15936652561807985,2.4836099391751378e-05,5.332158607314605e-08
5412OP,0.0,0.0,0.0
5415,0.1454709570576405,0.00010768887783107423,1.947647743260086e-07
55,0.0,0.0,0.0
561,0.17987537164185427,4.9068723069360936e-05,1.4533912110719725e-07
562,0.5729149896305102,0.062120623535159084,5.014398174829485e-07
61,0.16155030851688465,0.0001743039293201674,2.3820264468102702e-07
621,0.0,0.0,0.0
622,0.2306911787117527,6.190990059921926e-05,1.9908466000010177e-07
623,0.0,0.0,0.0
624,0.0,0.0,0.0
711AS,0.15634420762245577,2.6173654039342763e-05,5.6039852095881956e-08
721,0.0,0.0,0.0
722,0.0,0.0,0.0
81,0.175285527185027,0.00032053618067272316,8.543553425228614e-07
GFE,0.125832977561912,0.00019275594691519694,2.926896628014222e-07
GFGD,0.0,0.0,0.0
GFGN,0.0,0.0,0.0
GSLE,0.0,0.0,0.0
GSLG,0.0,0.0,0.0
HS,0.0,0.0,0.0
ORE,0.0,0.0,0.0
Used,1.4465387120222548,0.0013859794700732547,2.311231804596475e-05
