,ROW,CA,MX,CN,EU
111CA,-20113.7167358317,-4968.51437172117,-15710.0285805913,-647.866256449441,-2809.82772659708
113FF,-9966.1575431444,-2232.30173682251,-578.262748389719,-1699.7006688383,-2393.4305453143
211,-24759.7780063181,-49234.5690609356,-9359.43817536604,0.0,-2679.28920609685
212,-2091.27429463058,-1317.33631551936,-349.000504849483,-115.510325996622,-618.813084539142
213,-535.982470105583,-51.4917367815429,-0.953550681139683,-64.8414463174984,-212.554814589067
22,-19.5619550997254,-2002.797037773,-19.5619550997254,-19.5619550997254,-19.5619550997254
23,0.0,0.0,0.0,0.0,0.0
321,-5592.75250925179,-11066.4025325683,-401.803241971965,-3250.58335154121,-2927.48991910178
327,-6444.51738312234,-1826.08421127525,-3048.33036332975,-7190.43854287812,-6439.13699246438
331,-23851.2211197947,-13988.2070034094,-5327.96581821275,-2565.60855759009,-19669.4402902819
332,-17869.7805054356,-4234.53470773115,-7273.89261387652,-25238.7651175946,-14570.1345502228
333,-49737.1929085731,-9617.72077532502,-17183.6247676349,-36394.2091384552,-55687.8097489986
3342,-24615.7363429447,-350.226413520824,-6960.82571182216,-61451.2552632988,-678.942977117947
3344,-44132.9384554832,0.0,0.0,-7039.81810847975,-895.291640630392
3345,-11299.9765671942,-1069.36941666428,-6585.08292668102,-4816.18233658512,-18786.0405706378
334AO,-36744.028935774,0.0,-34559.2838308129,-76007.3249557706,-2479.37117882221
335,-27724.5274818142,-2086.97445263615,-23970.9496014009,-47480.7670566086,-14095.7628468619
3361MV,-76149.2750947567,-41349.0197166738,-102729.274677217,-16253.1605593125,-48301.5059367287
3364,-7602.1187063749,-6945.06161917592,-866.282522778946,-403.152088210204,-14053.2750577354
3365AO,-3202.54426715238,-906.846388822947,-1082.78373718546,-3024.89244596482,-2462.47107361894
337,-18908.6370379694,-2218.91799488444,-2503.0333265854,-20896.7009327498,-3621.0498269288
3391,-16215.9672725972,-112.350390217302,-5814.60702775126,-7116.19496277035,-12779.6256890698
3399,-17439.3018994642,-316.615535121408,-1535.98555633237,-38071.4031250797,-3757.06638647965
311FT,-37976.6605997855,-18734.924875382,-17284.4825112427,-4034.33585811967,-29446.3463836245
313TT,-12771.603711721,-675.383286037289,-1467.96940329784,-30997.9796628463,-4231.74925483491
315AL,-70237.0561765916,-208.518266970691,-3561.54037145568,-40878.886387284,-8771.62562418098
322,-5210.44832991775,-7952.62205089765,-1441.4223909484,-4307.28637571836,-4279.81309147581
323,-519.552132723368,-245.132351557154,-232.876044875647,-1299.45277339597,-253.667532827011
324,-12350.8027566578,-7672.56715955542,-1956.20297210057,-934.714908812653,-15916.297907718
3254,-61419.0848110984,-4316.64918431128,-430.702591889517,-3145.56871258658,-121509.83630224
325AO,-25108.1169950597,-17243.6168925875,-4527.49657662188,-13840.1576148243,-36533.7000013796
326,-18758.5077693766,-6532.28641842154,-4675.90094379721,-23526.3281196689,-7671.59444135276
42,0.0,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0,0.0
4A0,0.0,0.0,0.0,0.0,0.0
481,-6175.45627449192,-92.6778351044288,-1643.74479192012,-13.6490848810469,-4608.02843923389
482,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0,0.0
487OS,-0.979990357628438,-40.3368870658427,-0.0241972927809494,0.0,-1.36714704212365
493,0.0,0.0,0.0,0.0,0.0
5111,-609.095588528276,-170.574987775736,-32.3695148611969,-925.654690242788,-632.801499943369
5112,-732.096699477833,-217.829165340853,-21.0156626806201,-19.1667968385084,-609.921023088567
512,-3578.56476922012,-855.106233759009,-756.868132092544,-657.992056593061,-4027.43927813534
513,-40.5786568453953,-13.7343864657582,-17.1344774254552,-24.1439029479527,-27.2458119295237
518,-247.455735956524,-43.434985547445,-14.3380542629111,-19.3269443588792,-158.007477393398
519,-518.200735415868,-82.8455320485783,-11.9326506867928,-14.8733794186018,-328.930998450403
521CI,-11.5622316276225,-3.91339117471059,-4.88219207368524,-6.87941445037613,-7.76325321983988
523,-14.5827114262786,-4.93571276176593,-6.15760005777158,-8.67657031467332,-9.79130025068805
524,-38036.6114550993,-549.295930646637,-110.516375190836,-222.689052714551,-19775.8759670049
525,0.0,0.0,0.0,0.0,0.0
HS,0.0,0.0,0.0,0.0,0.0
ORE,0.0,0.0,0.0,0.0,0.0
532RL,0.0,0.0,0.0,0.0,0.0
5411,-1696.52599870529,-421.135257853111,-78.0975228432591,-247.89919612565,-2732.96643922906
5415,-13678.0875166812,-5228.43544959881,-235.449566850759,-251.464320303278,-11291.8022311143
5417,-11269.9254569702,-1588.08556640744,-404.302258546016,-2273.34363173967,-12979.6443299741
541AO,-30228.6646773175,-6356.20906833852,-1626.52517305212,-3990.50739646078,-41919.391638954
55,0.0,0.0,0.0,0.0,0.0
561,-898.385899018159,-217.642248646411,-231.247910570131,-182.008816782458,-871.324492290446
562,-106.28689607508,-26.3232669206416,-28.974531214807,-22.779229955992,-105.300226829687
61,-1136.96264768558,-83.9972404622592,-64.9978646434149,-69.997700385216,-569.98127456533
621,0.0,0.0,0.0,0.0,0.0
622,-2012.88824245455,-498.516716963149,-548.727033779581,-431.39884448404,-1994.2024495997
623,0.0,0.0,0.0,0.0,0.0
624,0.0,0.0,0.0,0.0,0.0
711AS,-126.175136490251,-40.0555988857939,-46.063938718663,-9.01250974930362,-138.191816155989
713,0.0,0.0,0.0,0.0,0.0
721,0.0,0.0,0.0,0.0,0.0
722,0.0,0.0,0.0,0.0,0.0
81,-1151.7343722068,-1205.54973546419,-348.474214401222,-396.699984493446,-814.177143268801
GFGD,0.0,0.0,0.0,0.0,0.0
GFGN,0.0,0.0,0.0,0.0,0.0
GFE,-6.50317870624095,-267.674046995156,-0.160572313734346,0.0,-9.07233572599061
GSLGE,0.0,0.0,0.0,0.0,0.0
GSLGAO,0.0,0.0,0.0,0.0,0.0
GSLE,0.0,0.0,0.0,0.0,0.0
Used,-1918.70603444992,-4403.02741777721,-1200.53133946347,-284.666743668652,-9427.21661086856
Other,-73006.8312022282,-10146.1297476026,-12715.8816613327,-4974.01127754453,-78080.4001653916
